Freq.	V(n004)*I(R_load)
Step Information: Kv=100m  (Step: 1/5)
1.00000000000000e+00	-6.48425275554060e-32,8.42102879437253e-37
1.01099099099099e+02	-6.92389052377593e-20,9.09085350771254e-23
2.01198198198198e+02	-4.30160349885867e-18,1.12400297690694e-20
3.01297297297297e+02	-4.85165014554444e-17,1.89848590829542e-19
4.01396396396396e+02	-2.71271340949287e-16,1.41420891157284e-18
5.01495495495495e+02	-1.03186573057769e-15,6.72115305170722e-18
6.01594594594595e+02	-3.07549643813160e-15,2.40322226862080e-17
7.01693693693694e+02	-7.74569973353228e-15,7.06005520402002e-17
8.01792792792793e+02	-1.72442568539820e-14,1.79612034604127e-16
9.01891891891892e+02	-3.49387775830089e-14,4.09377322070992e-16
1.00199099099099e+03	-6.57182163611204e-14,8.55554784221041e-16
1.10209009009009e+03	-1.16396614975876e-13,1.66684874580521e-15
1.20218918918919e+03	-1.96165405745182e-13,3.06463211611147e-15
1.30228828828829e+03	-3.17094649241563e-13,5.36694794482587e-15
1.40238738738739e+03	-4.94683621039350e-13,9.01735048083794e-15
1.50248648648649e+03	-7.48461202733748e-13,1.46190529863924e-14
1.60258558558559e+03	-1.10263657361341e-12,2.29748568757412e-14
1.70268468468468e+03	-1.58680074089973e-12,3.51333447145130e-14
1.80278378378378e+03	-2.23667948843002e-12,5.24418282432811e-14
1.90288288288288e+03	-3.09493836609217e-12,7.66065518873588e-14
2.00298198198198e+03	-4.21204038524940e-12,1.09760662195556e-13
2.10308108108108e+03	-5.64715712886047e-12,1.54540464327893e-13
2.20318018018018e+03	-7.46913402903836e-12,2.14170498097049e-13
2.30327927927928e+03	-9.75751060943440e-12,2.92557978176226e-13
2.40337837837838e+03	-1.26035965351224e-11,3.94397155934995e-13
2.50347747747748e+03	-1.61116043586249e-11,5.25284173963045e-13
2.60357657657658e+03	-2.03998398974076e-11,6.91842998716990e-13
2.70367567567567e+03	-2.56019512256110e-11,9.01863031888567e-13
2.80377477477477e+03	-3.18682373110206e-11,1.16444901706380e-12
2.90387387387387e+03	-3.93670173773500e-11,1.49018387504335e-12
3.00397297297297e+03	-4.82860621218550e-11,1.89130511884848e-12
3.10407207207207e+03	-5.88340879691557e-11,2.38189551796263e-12
3.20417117117117e+03	-7.12423155939654e-11,2.97808870077212e-12
3.30427027027027e+03	-8.57660939982437e-11,3.69829040452116e-12
3.40436936936937e+03	-1.02686591482151e-10,4.56341610339334e-12
3.50446846846847e+03	-1.22312554903147e-10,5.59714576756355e-12
3.60456756756757e+03	-1.44982138673650e-10,6.82619652936505e-12
3.70466666666666e+03	-1.71064805004961e-10,8.28061405700005e-12
3.80476576576576e+03	-2.00963296963638e-10,9.99408346158727e-12
3.90486486486486e+03	-2.35115685966315e-10,1.20042605897785e-11
4.00496396396396e+03	-2.73997495400041e-10,1.43531245817789e-11
4.10506306306306e+03	-3.18123902117718e-10,1.70873526034058e-11
4.20516216216216e+03	-3.68052017622151e-10,2.02587176906050e-11
4.30526126126126e+03	-4.24383250817611e-10,2.39245106763119e-11
4.40536036036036e+03	-4.87765754274793e-10,2.81479872016996e-11
4.50545945945946e+03	-5.58896956023581e-10,3.29988408479341e-11
4.60555855855856e+03	-6.38526178958263e-10,3.85537034595174e-11
4.70565765765766e+03	-7.27457350011763e-10,4.48966737670057e-11
4.80575675675676e+03	-8.26551801329169e-10,5.21198754547747e-11
4.90585585585586e+03	-9.36731165746375e-10,6.03240458592429e-11
5.00595495495496e+03	-1.05898036895715e-09,6.96191565238598e-11
5.10605405405406e+03	-1.19435072083133e-09,8.01250668799105e-11
5.20615315315316e+03	-1.34396310842840e-09,9.19722123668970e-11
5.30625225225225e+03	-1.50901129333411e-09,1.05302328351625e-10
5.40635135135135e+03	-1.69076531603396e-09,1.20269211253777e-10
5.50645045045045e+03	-1.89057501012483e-09,1.37039518335237e-10
5.60654954954955e+03	-2.10987362925704e-09,1.55793607661785e-10
5.70664864864865e+03	-2.35018158979139e-09,1.76726419799729e-10
5.80674774774775e+03	-2.61311033225138e-09,2.00048402865610e-10
5.90684684684685e+03	-2.90036630474839e-09,2.25986482605272e-10
6.00694594594595e+03	-3.21375507165843e-09,2.54785079237700e-10
6.10704504504505e+03	-3.55518555093208e-09,2.86707172862540e-10
6.20714414414415e+03	-3.92667438352548e-09,3.22035419293835e-10
6.30724324324325e+03	-4.33035043854935e-09,3.61073318249586e-10
6.40734234234235e+03	-4.76845945784518e-09,4.04146435898517e-10
6.50744144144145e+03	-5.24336884381256e-09,4.51603683833637e-10
6.60754054054055e+03	-5.75757259443084e-09,5.03818656621111e-10
6.70763963963965e+03	-6.31369638953929e-09,5.61191030149112e-10
6.80773873873875e+03	-6.91450283256591e-09,6.24148023081379e-10
6.90783783783785e+03	-7.56289685202345e-09,6.93145923805841e-10
7.00793693693695e+03	-8.26193126722383e-09,7.68671685353376e-10
7.10803603603605e+03	-9.01481252279866e-09,8.51244590854382e-10
7.20813513513514e+03	-9.82490659675336e-09,9.41417992192257e-10
7.30823423423424e+03	-1.06957450869272e-08,1.03978112461172e-09
7.40833333333334e+03	-1.16310314808797e-08,1.14696100014018e-09
7.50843243243244e+03	-1.26346476143763e-08,1.26362438278242e-09
7.60853153153154e+03	-1.37106603238047e-08,1.39047984856453e-09
7.70863063063064e+03	-1.48633282980137e-08,1.52827993360340e-09
7.80872972972974e+03	-1.60971091352330e-08,1.67782337351015e-09
7.90882882882884e+03	-1.74166666109051e-08,1.83995743754333e-09
8.00892792792794e+03	-1.88268781624366e-08,2.01558036106145e-09
8.10902702702704e+03	-2.03328425970556e-08,2.20564387995133e-09
8.20912612612614e+03	-2.19398880291542e-08,2.41115587084750e-09
8.30922522522524e+03	-2.36535800536805e-08,2.63318310109656e-09
8.40932432432434e+03	-2.54797301623508e-08,2.87285409256119e-09
8.50942342342344e+03	-2.74244044096511e-08,3.13136210351703e-09
8.60952252252254e+03	-2.94939323358092e-08,3.40996823305493e-09
8.70962162162164e+03	-3.16949161541371e-08,3.71000465255253e-09
8.80972072072074e+03	-3.40342402103641e-08,4.03287796895531e-09
8.90981981981984e+03	-3.65190807218132e-08,4.38007272478490e-09
9.00991891891893e+03	-3.91569158045075e-08,4.75315503996972e-09
9.11001801801803e+03	-4.19555357965417e-08,5.15377640078078e-09
9.21011711711713e+03	-4.49230538862974e-08,5.58367760137355e-09
9.31021621621623e+03	-4.80679170543538e-08,6.04469284357306e-09
9.41031531531533e+03	-5.13989173381921e-08,6.53875400087075e-09
9.51041441441443e+03	-5.49252034290879e-08,7.06789505268410e-09
9.61051351351353e+03	-5.86562926108560e-08,7.63425669524741e-09
9.71061261261263e+03	-6.26020830504042e-08,8.24009113573487e-09
9.81071171171173e+03	-6.67728664503649e-08,8.88776707639563e-09
9.91081081081083e+03	-7.11793410743649e-08,9.57977489583421e-09
1.00109099099099e+04	-7.58326251558390e-08,1.03187320346985e-08
1.01110090090090e+04	-8.07442707015858e-08,1.11073885935318e-08
1.02111081081081e+04	-8.59262777016525e-08,1.19486331504989e-08
1.03112072072072e+04	-9.13911087574298e-08,1.28454988074010e-08
1.04113063063063e+04	-9.71517041402511e-08,1.38011694722944e-08
1.05114054054054e+04	-1.03221497293125e-07,1.48189863876548e-08
1.06115045045045e+04	-1.09614430788626e-07,1.59024549132245e-08
1.07116036036036e+04	-1.16344972756377e-07,1.70552515729906e-08
1.08117027027027e+04	-1.23428133793932e-07,1.82812313762271e-08
1.09118018018018e+04	-1.30879484375331e-07,1.95844354227501e-08
1.10119009009009e+04	-1.38715172771987e-07,2.09690988030798e-08
1.11120000000000e+04	-1.46951943501044e-07,2.24396588044633e-08
1.12120990990991e+04	-1.55607156316803e-07,2.40007634341739e-08
1.13121981981982e+04	-1.64698805761249e-07,2.56572802721039e-08
1.14122972972973e+04	-1.74245541290286e-07,2.74143056646389e-08
1.15123963963964e+04	-1.84266687992674e-07,2.92771742729878e-08
1.16124954954955e+04	-1.94782267919298e-07,3.12514689889107e-08
1.17125945945946e+04	-2.05813022040865e-07,3.33430312317406e-08
1.18126936936937e+04	-2.17380432852701e-07,3.55579716409672e-08
1.19127927927928e+04	-2.29506747645872e-07,3.79026811793206e-08
1.20128918918919e+04	-2.42215002464520e-07,4.03838426613828e-08
1.21129909909910e+04	-2.55529046769761e-07,4.30084427242568e-08
1.22130900900901e+04	-2.69473568831285e-07,4.57837842564141e-08
1.23131891891892e+04	-2.84074121868369e-07,4.87174993020194e-08
1.24132882882883e+04	-2.99357150962592e-07,5.18175624590402e-08
1.25133873873874e+04	-3.15350020765459e-07,5.50923047889708e-08
1.26134864864865e+04	-3.32081044024606e-07,5.85504282580261e-08
1.27135855855856e+04	-3.49579510953104e-07,6.22010207297774e-08
1.28136846846847e+04	-3.67875719467204e-07,6.60535715295385e-08
1.29137837837838e+04	-3.87001006318484e-07,7.01179876026209e-08
1.30138828828829e+04	-4.06987779147268e-07,7.44046102887086e-08
1.31139819819820e+04	-4.27869549485043e-07,7.89242327353348e-08
1.32140810810811e+04	-4.49680966734334e-07,8.36881179751287e-08
1.33141801801802e+04	-4.72457853155518e-07,8.87080176915194e-08
1.34142792792793e+04	-4.96237239890875e-07,9.39961916991454e-08
1.35143783783784e+04	-5.21057404057142e-07,9.95654281661533e-08
1.36144774774775e+04	-5.46957906938844e-07,1.05429064606247e-07
1.37145765765766e+04	-5.73979633315593e-07,1.11601009670040e-07
1.38146756756757e+04	-6.02164831957678e-07,1.18095765765806e-07
1.39147747747748e+04	-6.31557157325284e-07,1.24928452541257e-07
1.40148738738739e+04	-6.62201712507712e-07,1.32114831259316e-07
1.41149729729730e+04	-6.94145093440281e-07,1.39671330101628e-07
1.42150720720721e+04	-7.27435434437608e-07,1.47615070435384e-07
1.43151711711712e+04	-7.62122455083249e-07,1.55963894079950e-07
1.44152702702703e+04	-7.98257508516806e-07,1.64736391612406e-07
1.45153693693694e+04	-8.35893631161172e-07,1.73951931750367e-07
1.46154684684685e+04	-8.75085593933710e-07,1.83630691854008e-07
1.47155675675676e+04	-9.15889954986282e-07,1.93793689591066e-07
1.48156666666667e+04	-9.58365114021252e-07,2.04462815807406e-07
1.49157657657658e+04	-1.00257136823105e-06,2.15660868651546e-07
1.50158648648649e+04	-1.04857096991118e-06,2.27411589000069e-07
1.51159639639640e+04	-1.09642818579783e-06,2.39739697233895e-07
1.52160630630631e+04	-1.14620935818253e-06,2.52670931418962e-07
1.53161621621622e+04	-1.19798296785865e-06,2.66232086943592e-07
1.54162612612613e+04	-1.25181969895570e-06,2.80451057669885e-07
1.55163603603604e+04	-1.30779250571930e-06,2.95356878657337e-07
1.56164594594595e+04	-1.36597668129658e-06,3.10979770519975e-07
1.57165585585586e+04	-1.42644992858861e-06,3.27351185479742e-07
1.58166576576577e+04	-1.48929243323346e-06,3.44503855182118e-07
1.59167567567568e+04	-1.55458693878547e-06,3.62471840342458e-07
1.60168558558559e+04	-1.62241882415812e-06,3.81290582294931e-07
1.61169549549550e+04	-1.69287618340080e-06,4.00996956516146e-07
1.62170540540541e+04	-1.76604990788074e-06,4.21629328203680e-07
1.63171531531532e+04	-1.84203377094525e-06,4.43227609985926e-07
1.64172522522523e+04	-1.92092451513998e-06,4.65833321850082e-07
1.65173513513514e+04	-2.00282194206301e-06,4.89489653372705e-07
1.66174504504505e+04	-2.08782900493579e-06,5.14241528344306e-07
1.67175495495496e+04	-2.17605190397564e-06,5.40135671881063e-07
1.68176486486487e+04	-2.26760018465599e-06,5.67220680122330e-07
1.69177477477478e+04	-2.36258683894449e-06,5.95547092615251e-07
1.70178468468469e+04	-2.46112840961114e-06,6.25167467492335e-07
1.71179459459460e+04	-2.56334509770208e-06,6.56136459551545e-07
1.72180450450451e+04	-2.66936087327724e-06,6.88510901354910e-07
1.73181441441442e+04	-2.77930358951348e-06,7.22349887464342e-07
1.74182432432433e+04	-2.89330510027765e-06,7.57714861940148e-07
1.75183423423424e+04	-3.01150138127919e-06,7.94669709227210e-07
1.76184414414415e+04	-3.13403265491152e-06,8.33280848571156e-07
1.77185405405406e+04	-3.26104351889921e-06,8.73617332098318e-07
1.78186396396397e+04	-3.39268307886932e-06,9.15750946708089e-07
1.79187387387388e+04	-3.52910508496924e-06,9.59756319929582e-07
1.80188378378379e+04	-3.67046807265751e-06,1.00571102990232e-06
1.81189369369370e+04	-3.81693550779839e-06,1.05369571964497e-06
