Freq.	V(n004)*I(R_load)		
1.00E+00	-1.62E-30	2.11E-35	1.62106E-30
1.01E+02	-1.73E-18	2.27E-21	1.73097E-18
2.01E+02	-1.08E-16	2.81E-19	1.0754E-16
3.01E+02	-1.21E-15	4.75E-18	1.21292E-15
4.01E+02	-6.78E-15	3.54E-17	6.78188E-15
5.01E+02	-2.58E-14	1.68E-16	2.57972E-14
6.02E+02	-7.69E-14	6.01E-16	7.68898E-14
7.02E+02	-1.94E-13	1.77E-15	1.93651E-13
8.02E+02	-4.31E-13	4.49E-15	4.3113E-13
9.02E+02	-8.73E-13	1.02E-14	8.73529E-13
1.00E+03	-1.64E-12	2.14E-14	1.64309E-12
1.10E+03	-2.91E-12	4.17E-14	2.91021E-12
1.20E+03	-4.90E-12	7.66E-14	4.90473E-12
1.30E+03	-7.93E-12	1.34E-13	7.9285E-12
1.40E+03	-1.24E-11	2.25E-13	1.23691E-11
1.50E+03	-1.87E-11	3.65E-13	1.87151E-11
1.60E+03	-2.76E-11	5.74E-13	2.75719E-11
1.70E+03	-3.97E-11	8.78E-13	3.96798E-11
1.80E+03	-5.59E-11	1.31E-12	5.59324E-11
1.90E+03	-7.74E-11	1.92E-12	7.73972E-11
2.00E+03	-1.05E-10	2.74E-12	1.05337E-10
2.10E+03	-1.41E-10	3.86E-12	1.41232E-10
2.20E+03	-1.87E-10	5.35E-12	1.86805E-10
2.30E+03	-2.44E-10	7.31E-12	2.44048E-10
2.40E+03	-3.15E-10	9.86E-12	3.15245E-10
2.50E+03	-4.03E-10	1.31E-11	4.03005E-10
2.60E+03	-5.10E-10	1.73E-11	5.10291E-10
2.70E+03	-6.40E-10	2.25E-11	6.40448E-10
2.80E+03	-7.97E-10	2.91E-11	7.97241E-10
2.90E+03	-9.84E-10	3.73E-11	9.84886E-10
3.00E+03	-1.21E-09	4.73E-11	1.20808E-09
3.10E+03	-1.47E-09	5.95E-11	1.47207E-09
3.20E+03	-1.78E-09	7.45E-11	1.78263E-09
3.30E+03	-2.14E-09	9.25E-11	2.14616E-09
3.40E+03	-2.57E-09	1.14E-10	2.56973E-09
3.50E+03	-3.06E-09	1.40E-10	3.06105E-09
3.60E+03	-3.62E-09	1.71E-10	3.62862E-09
3.70E+03	-4.28E-09	2.07E-10	4.28169E-09
3.80E+03	-5.02E-09	2.50E-10	5.03037E-09
3.90E+03	-5.88E-09	3.00E-10	5.88565E-09
4.00E+03	-6.85E-09	3.59E-10	6.85947E-09
4.11E+03	-7.95E-09	4.27E-10	7.96474E-09
4.21E+03	-9.20E-09	5.06E-10	9.21545E-09
4.31E+03	-1.06E-08	5.98E-10	1.06267E-08
4.41E+03	-1.22E-08	7.04E-10	1.22148E-08
4.51E+03	-1.40E-08	8.25E-10	1.39972E-08
4.61E+03	-1.60E-08	9.64E-10	1.59928E-08
4.71E+03	-1.82E-08	1.12E-09	1.82217E-08
4.81E+03	-2.07E-08	1.30E-09	2.07057E-08
4.91E+03	-2.34E-08	1.51E-09	2.34679E-08
5.01E+03	-2.65E-08	1.74E-09	2.6533E-08
5.11E+03	-2.99E-08	2.00E-09	2.99275E-08
5.21E+03	-3.36E-08	2.30E-09	3.36796E-08
5.31E+03	-3.77E-08	2.63E-09	3.78194E-08
5.41E+03	-4.23E-08	3.01E-09	4.23788E-08
5.51E+03	-4.73E-08	3.43E-09	4.73918E-08
5.61E+03	-5.28E-08	3.90E-09	5.28946E-08
5.71E+03	-5.88E-08	4.42E-09	5.89253E-08
5.81E+03	-6.53E-08	5.00E-09	6.55248E-08
5.91E+03	-7.25E-08	5.65E-09	7.27359E-08
6.01E+03	-8.04E-08	6.37E-09	8.06043E-08
6.11E+03	-8.89E-08	7.17E-09	8.9178E-08
6.21E+03	-9.82E-08	8.05E-09	9.8508E-08
6.31E+03	-1.08E-07	9.03E-09	1.08648E-07
6.41E+03	-1.19E-07	1.01E-08	1.19655E-07
6.51E+03	-1.31E-07	1.13E-08	1.31588E-07
6.61E+03	-1.44E-07	1.26E-08	1.44511E-07
6.71E+03	-1.58E-07	1.40E-08	1.5849E-07
6.81E+03	-1.73E-07	1.56E-08	1.73595E-07
6.91E+03	-1.89E-07	1.73E-08	1.89899E-07
7.01E+03	-2.07E-07	1.92E-08	2.0748E-07
7.11E+03	-2.25E-07	2.13E-08	2.26419E-07
7.21E+03	-2.46E-07	2.35E-08	2.46801E-07
7.31E+03	-2.67E-07	2.60E-08	2.68716E-07
7.41E+03	-2.91E-07	2.87E-08	2.92257E-07
7.51E+03	-3.16E-07	3.16E-08	3.17523E-07
7.61E+03	-3.43E-07	3.48E-08	3.44617E-07
7.71E+03	-3.72E-07	3.82E-08	3.73648E-07
7.81E+03	-4.03E-07	4.20E-08	4.04729E-07
7.91E+03	-4.36E-07	4.60E-08	4.37978E-07
8.01E+03	-4.71E-07	5.04E-08	4.73519E-07
8.11E+03	-5.08E-07	5.52E-08	5.11482E-07
8.21E+03	-5.49E-07	6.03E-08	5.52002E-07
8.31E+03	-5.92E-07	6.59E-08	5.95222E-07
8.41E+03	-6.37E-07	7.19E-08	6.41289E-07
8.51E+03	-6.86E-07	7.83E-08	6.90359E-07
8.61E+03	-7.38E-07	8.53E-08	7.42592E-07
8.71E+03	-7.93E-07	9.28E-08	7.98157E-07
8.81E+03	-8.51E-07	1.01E-07	8.57229E-07
8.91E+03	-9.13E-07	1.10E-07	9.19994E-07
9.01E+03	-9.79E-07	1.19E-07	9.8664E-07
9.11E+03	-1.05E-06	1.29E-07	1.05737E-06
9.21E+03	-1.12E-06	1.40E-07	1.13239E-06
9.31E+03	-1.20E-06	1.51E-07	1.21191E-06
9.41E+03	-1.29E-06	1.64E-07	1.29616E-06
9.51E+03	-1.37E-06	1.77E-07	1.38539E-06
9.61E+03	-1.47E-06	1.91E-07	1.47982E-06
9.71E+03	-1.57E-06	2.06E-07	1.57971E-06
9.81E+03	-1.67E-06	2.22E-07	1.68534E-06
9.91E+03	-1.78E-06	2.40E-07	1.79696E-06
1.00E+04	-1.90E-06	2.58E-07	1.91488E-06
1.01E+04	-2.02E-06	2.78E-07	2.03939E-06
1.02E+04	-2.15E-06	2.99E-07	2.17079E-06
1.03E+04	-2.29E-06	3.22E-07	2.30941E-06
1.04E+04	-2.43E-06	3.46E-07	2.45559E-06
1.05E+04	-2.58E-06	3.71E-07	2.60966E-06
1.06E+04	-2.74E-06	3.98E-07	2.77199E-06
1.07E+04	-2.91E-06	4.27E-07	2.94296E-06
1.08E+04	-3.09E-06	4.58E-07	3.12295E-06
1.09E+04	-3.28E-06	4.90E-07	3.31237E-06
1.10E+04	-3.47E-06	5.25E-07	3.51163E-06
1.11E+04	-3.68E-06	5.62E-07	3.72118E-06
1.12E+04	-3.90E-06	6.01E-07	3.94145E-06
1.13E+04	-4.12E-06	6.43E-07	4.17293E-06
1.14E+04	-4.36E-06	6.87E-07	4.41609E-06
1.15E+04	-4.61E-06	7.34E-07	4.67143E-06
1.16E+04	-4.88E-06	7.83E-07	4.93949E-06
1.17E+04	-5.15E-06	8.36E-07	5.2208E-06
1.18E+04	-5.44E-06	8.91E-07	5.51592E-06
1.19E+04	-5.75E-06	9.50E-07	5.82544E-06
1.20E+04	-6.07E-06	1.01E-06	6.14996E-06
1.21E+04	-6.40E-06	1.08E-06	6.4901E-06
1.22E+04	-6.75E-06	1.15E-06	6.84651E-06
1.23E+04	-7.12E-06	1.22E-06	7.21987E-06
1.24E+04	-7.50E-06	1.30E-06	7.61086E-06
1.25E+04	-7.90E-06	1.38E-06	8.02021E-06
1.26E+04	-8.32E-06	1.47E-06	8.44866E-06
1.27E+04	-8.76E-06	1.56E-06	8.89699E-06
1.28E+04	-9.22E-06	1.66E-06	9.366E-06
1.29E+04	-9.70E-06	1.76E-06	9.85651E-06
1.30E+04	-1.02E-05	1.87E-06	1.03694E-05
1.31E+04	-1.07E-05	1.98E-06	1.09055E-05
1.32E+04	-1.13E-05	2.10E-06	1.14658E-05
1.33E+04	-1.18E-05	2.23E-06	1.20512E-05
1.34E+04	-1.24E-05	2.36E-06	1.26627E-05
1.35E+04	-1.31E-05	2.50E-06	1.33014E-05
1.36E+04	-1.37E-05	2.65E-06	1.39682E-05
1.37E+04	-1.44E-05	2.80E-06	1.46643E-05
1.38E+04	-1.51E-05	2.97E-06	1.53909E-05
1.39E+04	-1.58E-05	3.14E-06	1.61489E-05
1.40E+04	-1.66E-05	3.32E-06	1.69398E-05
1.41E+04	-1.74E-05	3.51E-06	1.77647E-05
1.42E+04	-1.83E-05	3.71E-06	1.86249E-05
1.43E+04	-1.91E-05	3.92E-06	1.95218E-05
1.44E+04	-2.00E-05	4.14E-06	2.04568E-05
1.45E+04	-2.10E-05	4.38E-06	2.14312E-05
1.46E+04	-2.20E-05	4.62E-06	2.24466E-05
1.47E+04	-2.30E-05	4.88E-06	2.35045E-05
1.48E+04	-2.41E-05	5.15E-06	2.46064E-05
1.49E+04	-2.52E-05	5.43E-06	2.57541E-05
1.50E+04	-2.63E-05	5.73E-06	2.69492E-05
1.51E+04	-2.75E-05	6.04E-06	2.81935E-05
1.52E+04	-2.88E-05	6.36E-06	2.94888E-05
1.53E+04	-3.01E-05	6.71E-06	3.08369E-05
1.54E+04	-3.15E-05	7.07E-06	3.22398E-05
1.55E+04	-3.29E-05	7.44E-06	3.36995E-05
1.56E+04	-3.43E-05	7.84E-06	3.5218E-05
1.57E+04	-3.59E-05	8.25E-06	3.67976E-05
1.58E+04	-3.74E-05	8.69E-06	3.84404E-05
1.59E+04	-3.91E-05	9.14E-06	4.01487E-05
1.60E+04	-4.08E-05	9.62E-06	4.19248E-05
1.61E+04	-4.26E-05	1.01E-05	4.37713E-05
1.62E+04	-4.44E-05	1.06E-05	4.56906E-05
1.63E+04	-4.64E-05	1.12E-05	4.76854E-05
1.64E+04	-4.83E-05	1.18E-05	4.97584E-05
1.65E+04	-5.04E-05	1.24E-05	5.19122E-05
1.66E+04	-5.26E-05	1.30E-05	5.415E-05
1.67E+04	-5.48E-05	1.37E-05	5.64745E-05
1.68E+04	-5.71E-05	1.43E-05	5.8889E-05
1.69E+04	-5.95E-05	1.51E-05	6.13966E-05
1.70E+04	-6.20E-05	1.58E-05	6.40005E-05
1.71E+04	-6.46E-05	1.66E-05	6.67043E-05
1.72E+04	-6.73E-05	1.74E-05	6.95114E-05
1.73E+04	-7.01E-05	1.83E-05	7.24254E-05
1.74E+04	-7.30E-05	1.92E-05	7.54502E-05
1.75E+04	-7.60E-05	2.01E-05	7.85896E-05
1.76E+04	-7.91E-05	2.11E-05	8.18477E-05
1.77E+04	-8.23E-05	2.22E-05	8.52285E-05
1.78E+04	-8.56E-05	2.32E-05	8.87364E-05
1.79E+04	-8.91E-05	2.44E-05	9.23759E-05
1.80E+04	-9.27E-05	2.55E-05	9.61515E-05
1.81E+04	-9.64E-05	2.68E-05	0.000100068
1.82E+04	-1.00E-04	2.81E-05	0.00010413
1.83E+04	-1.04E-04	2.94E-05	0.000108343
1.84E+04	-1.08E-04	3.08E-05	0.000112713
1.85E+04	-1.13E-04	3.23E-05	0.000117243
1.86E+04	-1.17E-04	3.38E-05	0.000121941
1.87E+04	-1.22E-04	3.54E-05	0.000126812
1.88E+04	-1.27E-04	3.71E-05	0.000131862
